0101010101010101011010101010101010101001010101101010 0101011010101001010101010101010101101010101010101010 separated by 163285
001110010101010101010101010110101010101010101010010101011010101010011100 001110010101010110101010010101010101010101011010101010101010101010011100 separated by 163330
001110011001010101010101010110101010101010101010010101011010100110011100 001110011001010110101010010101010101010101011010101010101010100110011100 separated by 163290
00111001100110010110011001011010011001101001100110011001100110011001100110011100 00111001100110011001100110011001100110010110011001011010011001101001100110011100 separated by 298343
001110100101010101010101010110101010101010101010010101011010101001011100 001110100101010110101010010101010101010101011010101010101010101001011100 separated by 315577
0011101001100110011001100110011001100110100110011001100110010110011001011100 0011101001100110100110011001100110010110011001100110011001100110011001011100 separated by 162555
001110101001010101010101010110101010101010101010010101011010100101011100 001110101001010110101010010101010101010101011010101010101010100101011100 separated by 163290
001110101010010101010101010110101010101010101010010101011010010101011100 001110101010010110101010010101010101010101011010101010101010010101011100 separated by 160529
001110110001010101010101010110101010101010101010010101011010100011011100 001110110001010110101010010101010101010101011010101010101010100011011100 separated by 163285
001110110101000101010101010110101010101010101010010101011000101011011100 001110110101000110101010010101010101010101011010101010101000101011011100 separated by 33936
001111000101010101010101010110101010101010101010010101011010101000111100 001111000101010110101010010101010101010101011010101010101010101000111100 separated by 315579
001111001001010101010101010110101010101010101010010101011010100100111100 001111001001010110101010010101010101010101011010101010101010100100111100 separated by 163285
001111010001010101010101010110101010101010101010010101011010100010111100 001111010001010110101010010101010101010101011010101010101010100010111100 separated by 163290
001111010100010101010101010110101010101010101010010101011010001010111100 001111010100010110101010010101010101010101011010101010101010001010111100 separated by 160529
001111100001010101010101010110101010101010101010010101011010100001111100 001111100001010110101010010101010101010101011010101010101010100001111100 separated by 171045
010000111101010101010101010110101010101010101010010101011010101111000010 010000111101010110101010010101010101010101011010101010101010101111000010 separated by 171686
010001010111010101010101010110101010101010101010010101011010111010100010 010001010111010110101010010101010101010101011010101010101010111010100010 separated by 163285
010001011101010101010101010110101010101010101010010101011010101110100010 010001011101010110101010010101010101010101011010101010101010101110100010 separated by 163300
010001101101010101010101010110101010101010101010010101011010101101100010 010001101101010110101010010101010101010101011010101010101010101101100010 separated by 163330
010001110101010101010101010110101010101010101010010101011010101011100010 010001110101010110101010010101010101010101011010101010101010101011100010 separated by 163330
010001111001010101010101010110101010101010101010010101011010100111100010 010001111001010110101010010101010101010101011010101010101010100111100010 separated by 163285
010010010101110101010101010110101010101010101010010101011011101010010010 010010010101110110101010010101010101010101011010101010101011101010010010 separated by 31071
010010011101010101010101010110101010101010101010010101011010101110010010 010010011101010110101010010101010101010101011010101010101010101110010010 separated by 163285
010010100111010101010101010110101010101010101010010101011010111001010010 010010100111010110101010010101010101010101011010101010101010111001010010 separated by 161575
010010101011010101010101010110101010101010101010010101011010110101010010 010010101011010110101010010101010101010101011010101010101010110101010010 separated by 163285
010010101101010101010101010110101010101010101010010101011010101101010010 010010101101010110101010010101010101010101011010101010101010101101010010 separated by 163285
010010101101100101010101010110101010101010101010010101011001101101010010 010010101101100110101010010101010101010101011010101010101001101101010010 separated by 31056
010010101110010101010101010110101010101010101010010101011010011101010010 010010101110010110101010010101010101010101011010101010101010011101010010 separated by 160528
010010110101010101010101010110101010101010101010010101011010101011010010 010010110101010110101010010101010101010101011010101010101010101011010010 separated by 163499
010010111001010101010101010110101010101010101010010101011010100111010010 010010111001010110101010010101010101010101011010101010101010100111010010 separated by 163285
01001011100110010110011001011010011001101001100110011001100110011001100111010010 01001011100110011001100110011001100110010110011001011010011001101001100111010010 separated by 70973
